,Brand_Name,Product_Description,Product_Detail_Description,Discounted_Price,Original_Price,Discount_Percent,Links_of_the_Product_Images,Links_of_the_Product_Zoomed_Images
25,Roadster,High-Low Cotton T-shirt,Roadster Men Black High-Low Cotton T-shirt,Rs. 446,Rs. 1399,(Rs. 953 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11545114/2020/11/9/a833ec77-37ef-405d-8bd2-3ab4da2fe5851604917021688-Roadster-Men-Tshirts-4071604917019556-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/11545114/2020/11/9/a833ec77-37ef-405d-8bd2-3ab4da2fe5851604917021688-Roadster-Men-Tshirts-4071604917019556-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/11545114/2020/11/9/a833ec77-37ef-405d-8bd2-3ab4da2fe5851604917021688-Roadster-Men-Tshirts-4071604917019556-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/11545114/2020/11/9/a833ec77-37ef-405d-8bd2-3ab4da2fe5851604917021688-Roadster-Men-Tshirts-4071604917019556-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/11545114/2020/11/9/a833ec77-37ef-405d-8bd2-3ab4da2fe5851604917021688-Roadster-Men-Tshirts-4071604917019556-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/11545114/2020/11/9/a833ec77-37ef-405d-8bd2-3ab4da2fe5851604917021688-Roadster-Men-Tshirts-4071604917019556-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/11545114/2020/11/9/a833ec77-37ef-405d-8bd2-3ab4da2fe5851604917021688-Roadster-Men-Tshirts-4071604917019556-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/11545114/2020/11/9/a833ec77-37ef-405d-8bd2-3ab4da2fe5851604917021688-Roadster-Men-Tshirts-4071604917019556-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/11545114/2020/11/9/a833ec77-37ef-405d-8bd2-3ab4da2fe5851604917021688-Roadster-Men-Tshirts-4071604917019556-1.jpg 2.8x"
26,Huetrap,Typography Print T-shirt,Huetrap Men Beige & Black Typography Printed Sustainable T-shirt,Rs. 274,Rs. 499,(45% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg 2.8x"
27,HERE&NOW,Men Graphic Printed T-shirt,HERE&NOW Men Graphic Printed Regular Fit T-shirt,Rs. 695,Rs. 1199,(42% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25655644/2023/11/7/d3bb5e2a-2c61-48c8-85ed-5fb46eef651d1699342218627-HERENOW-Men-Tshirts-6751699342218347-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/25655644/2023/11/7/d3bb5e2a-2c61-48c8-85ed-5fb46eef651d1699342218627-HERENOW-Men-Tshirts-6751699342218347-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/25655644/2023/11/7/d3bb5e2a-2c61-48c8-85ed-5fb46eef651d1699342218627-HERENOW-Men-Tshirts-6751699342218347-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/25655644/2023/11/7/d3bb5e2a-2c61-48c8-85ed-5fb46eef651d1699342218627-HERENOW-Men-Tshirts-6751699342218347-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/25655644/2023/11/7/d3bb5e2a-2c61-48c8-85ed-5fb46eef651d1699342218627-HERENOW-Men-Tshirts-6751699342218347-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/25655644/2023/11/7/d3bb5e2a-2c61-48c8-85ed-5fb46eef651d1699342218627-HERENOW-Men-Tshirts-6751699342218347-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/25655644/2023/11/7/d3bb5e2a-2c61-48c8-85ed-5fb46eef651d1699342218627-HERENOW-Men-Tshirts-6751699342218347-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/25655644/2023/11/7/d3bb5e2a-2c61-48c8-85ed-5fb46eef651d1699342218627-HERENOW-Men-Tshirts-6751699342218347-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/25655644/2023/11/7/d3bb5e2a-2c61-48c8-85ed-5fb46eef651d1699342218627-HERENOW-Men-Tshirts-6751699342218347-1.jpg 2.8x"
28,Roadster,Henley Neck T-shirt,Roadster Men Brown Melange Henley Neck T-shirt,Rs. 699,Rs. 6999,(90% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/1996770/2018/2/8/11518088823846-Roadster-Men-Rust-Solid-Henley-Neck-T-shirt-7631518088823602-1.jpg 2.8x"
29,Hypernation,Men High Neck T-shirt,Hypernation Men Black High Neck T-shirt,Rs. 547,Rs. 1659,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19523176/2022/8/16/7437cb9c-6660-455b-b381-d23b03c1b5d21660670735233Tshirts1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/19523176/2022/8/16/7437cb9c-6660-455b-b381-d23b03c1b5d21660670735233Tshirts1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/19523176/2022/8/16/7437cb9c-6660-455b-b381-d23b03c1b5d21660670735233Tshirts1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/19523176/2022/8/16/7437cb9c-6660-455b-b381-d23b03c1b5d21660670735233Tshirts1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/19523176/2022/8/16/7437cb9c-6660-455b-b381-d23b03c1b5d21660670735233Tshirts1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/19523176/2022/8/16/7437cb9c-6660-455b-b381-d23b03c1b5d21660670735233Tshirts1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/19523176/2022/8/16/7437cb9c-6660-455b-b381-d23b03c1b5d21660670735233Tshirts1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/19523176/2022/8/16/7437cb9c-6660-455b-b381-d23b03c1b5d21660670735233Tshirts1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/19523176/2022/8/16/7437cb9c-6660-455b-b381-d23b03c1b5d21660670735233Tshirts1.jpg 2.8x"
30,MISCHIEF MONKEY,Printed Oversized T-shirt,MISCHIEF MONKEY Graphic Printed Pure Cotton Oversized T-shirt,Rs. 350,Rs. 899,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25598318/2023/10/23/6944b5e4-beae-4c75-a8d7-a062724aa3651698063592246MISCHIEFMONKEYMenBlackTypographyPrintedPureCottonT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/25598318/2023/10/23/6944b5e4-beae-4c75-a8d7-a062724aa3651698063592246MISCHIEFMONKEYMenBlackTypographyPrintedPureCottonT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/25598318/2023/10/23/6944b5e4-beae-4c75-a8d7-a062724aa3651698063592246MISCHIEFMONKEYMenBlackTypographyPrintedPureCottonT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/25598318/2023/10/23/6944b5e4-beae-4c75-a8d7-a062724aa3651698063592246MISCHIEFMONKEYMenBlackTypographyPrintedPureCottonT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/25598318/2023/10/23/6944b5e4-beae-4c75-a8d7-a062724aa3651698063592246MISCHIEFMONKEYMenBlackTypographyPrintedPureCottonT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/25598318/2023/10/23/6944b5e4-beae-4c75-a8d7-a062724aa3651698063592246MISCHIEFMONKEYMenBlackTypographyPrintedPureCottonT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/25598318/2023/10/23/6944b5e4-beae-4c75-a8d7-a062724aa3651698063592246MISCHIEFMONKEYMenBlackTypographyPrintedPureCottonT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/25598318/2023/10/23/6944b5e4-beae-4c75-a8d7-a062724aa3651698063592246MISCHIEFMONKEYMenBlackTypographyPrintedPureCottonT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/25598318/2023/10/23/6944b5e4-beae-4c75-a8d7-a062724aa3651698063592246MISCHIEFMONKEYMenBlackTypographyPrintedPureCottonT-shirt1.jpg 2.8x"
31,Maniac,Printed Boxy T-shirt,Maniac Raglan Sleeves Typography Printed Boxy T-shirt,Rs. 447,Rs. 1399,(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg 2.8x"
32,Roadster,Polo Collar Cotton Pure Cotton T-shirt,Roadster Men Black Polo Collar Cotton Pure Cotton T-shirt,Rs. 446,Rs. 1399,(Rs. 953 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1996801/2018/8/3/15c9e328-62bd-49ea-8cbd-7bc2047ba02f1533279315890-Roadster-Men-Black-Solid-Polo-Collar-T-shirt-836153327931345-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/1996801/2018/8/3/15c9e328-62bd-49ea-8cbd-7bc2047ba02f1533279315890-Roadster-Men-Black-Solid-Polo-Collar-T-shirt-836153327931345-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/1996801/2018/8/3/15c9e328-62bd-49ea-8cbd-7bc2047ba02f1533279315890-Roadster-Men-Black-Solid-Polo-Collar-T-shirt-836153327931345-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/1996801/2018/8/3/15c9e328-62bd-49ea-8cbd-7bc2047ba02f1533279315890-Roadster-Men-Black-Solid-Polo-Collar-T-shirt-836153327931345-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/1996801/2018/8/3/15c9e328-62bd-49ea-8cbd-7bc2047ba02f1533279315890-Roadster-Men-Black-Solid-Polo-Collar-T-shirt-836153327931345-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/1996801/2018/8/3/15c9e328-62bd-49ea-8cbd-7bc2047ba02f1533279315890-Roadster-Men-Black-Solid-Polo-Collar-T-shirt-836153327931345-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/1996801/2018/8/3/15c9e328-62bd-49ea-8cbd-7bc2047ba02f1533279315890-Roadster-Men-Black-Solid-Polo-Collar-T-shirt-836153327931345-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/1996801/2018/8/3/15c9e328-62bd-49ea-8cbd-7bc2047ba02f1533279315890-Roadster-Men-Black-Solid-Polo-Collar-T-shirt-836153327931345-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/1996801/2018/8/3/15c9e328-62bd-49ea-8cbd-7bc2047ba02f1533279315890-Roadster-Men-Black-Solid-Polo-Collar-T-shirt-836153327931345-1.jpg 2.8x"
33,FCUK,Pure Cotton Oversized T-shirt,FCUK Brand Logo Drop-Shoulder Sleeves Pure Cotton Applique Oversized T-shirt,Rs. 609,Rs. 899,(Rs. 290 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24096904/2023/12/27/7d1ade4b-1f7d-4ea0-9356-cad04538d6091703667858503-FCUK-Men-Tshirts-8871703667858036-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/24096904/2023/12/27/7d1ade4b-1f7d-4ea0-9356-cad04538d6091703667858503-FCUK-Men-Tshirts-8871703667858036-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/24096904/2023/12/27/7d1ade4b-1f7d-4ea0-9356-cad04538d6091703667858503-FCUK-Men-Tshirts-8871703667858036-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/24096904/2023/12/27/7d1ade4b-1f7d-4ea0-9356-cad04538d6091703667858503-FCUK-Men-Tshirts-8871703667858036-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/24096904/2023/12/27/7d1ade4b-1f7d-4ea0-9356-cad04538d6091703667858503-FCUK-Men-Tshirts-8871703667858036-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/24096904/2023/12/27/7d1ade4b-1f7d-4ea0-9356-cad04538d6091703667858503-FCUK-Men-Tshirts-8871703667858036-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/24096904/2023/12/27/7d1ade4b-1f7d-4ea0-9356-cad04538d6091703667858503-FCUK-Men-Tshirts-8871703667858036-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/24096904/2023/12/27/7d1ade4b-1f7d-4ea0-9356-cad04538d6091703667858503-FCUK-Men-Tshirts-8871703667858036-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/24096904/2023/12/27/7d1ade4b-1f7d-4ea0-9356-cad04538d6091703667858503-FCUK-Men-Tshirts-8871703667858036-1.jpg 2.8x"
34,HERE&NOW,Men Printed T-shirt,HERE&NOW Men Printed T-shirt,Rs. 353,Rs. 599,(41% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25856032/2023/11/23/55d9979d-763a-48bd-b368-6425e923167b1700710403180-HERENOW-Men-Tshirts-9171700710402776-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/25856032/2023/11/23/55d9979d-763a-48bd-b368-6425e923167b1700710403180-HERENOW-Men-Tshirts-9171700710402776-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/25856032/2023/11/23/55d9979d-763a-48bd-b368-6425e923167b1700710403180-HERENOW-Men-Tshirts-9171700710402776-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/25856032/2023/11/23/55d9979d-763a-48bd-b368-6425e923167b1700710403180-HERENOW-Men-Tshirts-9171700710402776-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/25856032/2023/11/23/55d9979d-763a-48bd-b368-6425e923167b1700710403180-HERENOW-Men-Tshirts-9171700710402776-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/25856032/2023/11/23/55d9979d-763a-48bd-b368-6425e923167b1700710403180-HERENOW-Men-Tshirts-9171700710402776-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/25856032/2023/11/23/55d9979d-763a-48bd-b368-6425e923167b1700710403180-HERENOW-Men-Tshirts-9171700710402776-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/25856032/2023/11/23/55d9979d-763a-48bd-b368-6425e923167b1700710403180-HERENOW-Men-Tshirts-9171700710402776-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/25856032/2023/11/23/55d9979d-763a-48bd-b368-6425e923167b1700710403180-HERENOW-Men-Tshirts-9171700710402776-1.jpg 2.8x"
35,Roadster,Polo Collar Casual T-shirt,The Roadster Life Co. Solid Polo Collar T-shirt,Rs. 249,Rs. 999,(75% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23853750/2023/7/11/3a37c56a-77f2-4aa7-a21b-d12489e0d0081689057501739-Roadster-Men-Tshirts-5341689057501426-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/23853750/2023/7/11/3a37c56a-77f2-4aa7-a21b-d12489e0d0081689057501739-Roadster-Men-Tshirts-5341689057501426-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/23853750/2023/7/11/3a37c56a-77f2-4aa7-a21b-d12489e0d0081689057501739-Roadster-Men-Tshirts-5341689057501426-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/23853750/2023/7/11/3a37c56a-77f2-4aa7-a21b-d12489e0d0081689057501739-Roadster-Men-Tshirts-5341689057501426-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/23853750/2023/7/11/3a37c56a-77f2-4aa7-a21b-d12489e0d0081689057501739-Roadster-Men-Tshirts-5341689057501426-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/23853750/2023/7/11/3a37c56a-77f2-4aa7-a21b-d12489e0d0081689057501739-Roadster-Men-Tshirts-5341689057501426-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/23853750/2023/7/11/3a37c56a-77f2-4aa7-a21b-d12489e0d0081689057501739-Roadster-Men-Tshirts-5341689057501426-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/23853750/2023/7/11/3a37c56a-77f2-4aa7-a21b-d12489e0d0081689057501739-Roadster-Men-Tshirts-5341689057501426-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/23853750/2023/7/11/3a37c56a-77f2-4aa7-a21b-d12489e0d0081689057501739-Roadster-Men-Tshirts-5341689057501426-1.jpg 2.8x"
